"Product Id","Product Handle","Product Title","Product Subtitle","Product Description","Product Status","Product Thumbnail","Product Weight","Product Length","Product Width","Product Height","Product HS Code","Product Origin Country","Product MID Code","Product Material","Shipping Profile Id","Product Sales Channel 1","Product Collection Id","Product Type Id","Product Tag 1","Product Discountable","Product External Id","Variant Id","Variant Title","Variant SKU","Variant Barcode","Variant Allow Backorder","Variant Manage Inventory","Variant Weight","Variant Length","Variant Width","Variant Height","Variant HS Code","Variant Origin Country","Variant MID Code","Variant Material","Variant Price EUR","Variant Price USD","Variant Option 1 Name","Variant Option 1 Value","Product Image 1 Url","Product Image 2 Url"
"","spatula","Silicone Spatula Set","","Set of 3 heat-resistant silicone spatulas.","published","https://picsum.photos/seed/spatula/200/300","150","10","10","2","","","","","","","","","","TRUE","","","Set of 3","SPAT-SET","","FALSE","TRUE","150","10","10","2","","","","","8.99","10.45","Size","Set of 3","https://picsum.photos/seed/spatula/200/300",""
"","coffee-maker","Drip Coffee Maker","","12-cup programmable coffee maker with auto-shutoff.","published","https://picsum.photos/seed/coffeemaker/200/300","2500","15","10","12","","","","","","","","","","TRUE","","","Black","COFFEE-DRIP","","FALSE","TRUE","2500","15","10","12","","","","","55.00","63.80","Color","Black","https://picsum.photos/seed/coffeemaker/200/300",""
"","kettle","Electric Kettle","","1.7L electric kettle with stainless steel body.","published","https://picsum.photos/seed/kettle/200/300","1200","8","8","10","","","","","","","","","","TRUE","","","Silver","KETTLE-1.7","","FALSE","TRUE","1200","8","8","10","","","","","35.00","40.60","Color","Silver","https://picsum.photos/seed/kettle/200/300",""
"","toaster","2-Slice Toaster","","2-slice toaster with 6 browning levels.","published","https://picsum.photos/seed/toaster/200/300","1500","8","8","7","","","","","","","","","","TRUE","","","Red","TOAST-2","","FALSE","TRUE","1500","8","8","7","","","","","30.00","34.80","Color","Red","https://picsum.photos/seed/toaster/200/300",""
"","glassware","Glass Tumbler Set","","Set of 6 clear glass tumblers (11oz).","published","https://picsum.photos/seed/glassware/200/300","1500","3","3","8","","","","","","","","","","TRUE","","","Set of 6","GLASS-6","","FALSE","TRUE","1500","3","3","8","","","","","14.00","16.25","Size","Set of 6","https://picsum.photos/seed/glassware/200/300",""
"","plate-set","Ceramic Dinner Plate Set","","Set of 4 porcelain dinner plates.","published","https://picsum.photos/seed/plates/200/300","2000","10","10","2","","","","","","","","","","TRUE","","","Set of 4","PLATE-4","","FALSE","TRUE","2000","10","10","2","","","","","24.00","27.80","Size","Set of 4","https://picsum.photos/seed/plates/200/300",""
"","bath-towel","Bath Towel Set","","Set of 2 100% cotton bath towels (500gsm).","published","https://picsum.photos/seed/towel/200/300","800","20","15","2","","","","","","","","","","TRUE","","","Grey","TOWEL-2","","FALSE","TRUE","800","20","15","2","","","","","18.00","20.90","Color","Grey","https://picsum.photos/seed/towel/200/300",""
"","bed-sheets","Bed Sheet Set","","Queen size bed sheet set (fitted, flat, 2 pillowcases).","published","https://picsum.photos/seed/bedsheets/200/300","2000","10","10","10","","","","","","","","","","TRUE","","","Navy Blue","BS-QUEEN","","FALSE","TRUE","2000","10","10","10","","","","","35.00","40.60","Color","Navy Blue","https://picsum.photos/seed/bedsheets/200/300",""
"","pillow","Sleeping Pillow","","Memory foam pillow with cooling gel layer.","published","https://picsum.photos/seed/pillow/200/300","800","10","8","4","","","","","","","","","","TRUE","","","Standard","PILLOW-MEM","","FALSE","TRUE","800","10","8","4","","","","","29.00","33.65","Size","Standard","https://picsum.photos/seed/pillow/200/300",""
"","clothes-hanger","Velvet Clothes Hangers","","Pack of 20 velvet non-slip hangers.","published","https://picsum.photos/seed/hanger/200/300","500","5","15","0.5","","","","","","","","","","TRUE","","","Black","HANGER-20","","FALSE","TRUE","500","5","15","0.5","","","","","12.00","13.90","Color","Black","https://picsum.photos/seed/hanger/200/300",""
"","dryer-sheets","Dryer Sheets","","100 count dryer sheets for fresh laundry.","published","https://picsum.photos/seed/dryersheet/200/300","200","5","5","3","","","","","","","","","","TRUE","","","100 Count","DRYER-100","","FALSE","TRUE","200","5","5","3","","","","","4.50","5.25","Size","100 Count","https://picsum.photos/seed/dryersheet/200/300",""
"","laundry-detergent","Laundry Detergent Pods","","Pack of 30 laundry detergent pods.","published","https://picsum.photos/seed/detergent/200/300","900","10","10","5","","","","","","","","","","TRUE","","","30 Pods","DETERGENT-30","","FALSE","TRUE","900","10","10","5","","","","","12.00","13.90","Size","30 Pods","https://picsum.photos/seed/detergent/200/300",""
"","lego-blocks","Building Blocks Set","","500-piece classic building blocks set.","published","https://picsum.photos/seed/lego/200/300","800","8","8","8","","","","","","","","","","TRUE","","","500 Pcs","BLOCKS-500","","FALSE","TRUE","800","8","8","8","","","","","20.00","23.20","Size","500 Pcs","https://picsum.photos/seed/lego/200/300",""
"","action-figure","Superhero Action Figure","","12-inch posable action figure with accessories.","published","https://picsum.photos/seed/actionfigure/200/300","300","6","6","12","","","","","","","","","","TRUE","","","Spiderman","AF-HERO","","FALSE","TRUE","300","6","6","12","","","","","25.00","29.00","Character","Spiderman","https://picsum.photos/seed/actionfigure/200/300",""
"","action-figure","Superhero Action Figure","","12-inch posable action figure with accessories.","published","https://picsum.photos/seed/actionfigurebat/200/300","300","6","6","12","","","","","","","","","","TRUE","","","Batman","AF-BAT","","FALSE","TRUE","300","6","6","12","","","","","25.00","29.00","Character","Batman","https://picsum.photos/seed/actionfigurebat/200/300",""
"","chess-set","Wooden Chess Set","","Classic wooden chess set with 32 pieces.","published","https://picsum.photos/seed/chess/200/300","1000","8","8","4","","","","","","","","","","TRUE","","","Medium","CHESS-WOOD","","FALSE","TRUE","1000","8","8","4","","","","","35.00","40.60","Size","Medium","https://picsum.photos/seed/chess/200/300",""
"","puzzle","1000 Piece Puzzle","","1000-piece jigsaw puzzle with a landscape photo.","published","https://picsum.photos/seed/puzzle/200/300","700","10","10","5","","","","","","","","","","TRUE","","","Landscape","PUZZLE-1K","","FALSE","TRUE","700","10","10","5","","","","","15.00","17.40","Image","Landscape","https://picsum.photos/seed/puzzle/200/300",""
"","remote-car","Remote Control Car","","Off-road RC car with 2.4GHz remote control.","published","https://picsum.photos/seed/rccar/200/300","800","8","8","4","","","","","","","","","","TRUE","","","Red","RC-CAR","","FALSE","TRUE","800","8","8","4","","","","","45.00","52.20","Color","Red","https://picsum.photos/seed/rccar/200/300",""
"","doll","Fashion Doll","","11.5-inch fashion doll with accessories.","published","https://picsum.photos/seed/doll/200/300","200","3","3","12","","","","","","","","","","TRUE","","","Princess","DOLL-FASH","","FALSE","TRUE","200","3","3","12","","","","","12.00","13.90","Character","Princess","https://picsum.photos/seed/doll/200/300",""
"","yo-yo","Pro Yo-Yo","","Aluminum yo-yo with a long spinning ability.","published","https://picsum.photos/seed/yoyo/200/300","150","2","2","3","","","","","","","","","","TRUE","","","Blue","YOYO-PRO","","FALSE","TRUE","150","2","2","3","","","","","8.00","9.30","Color","Blue","https://picsum.photos/seed/yoyo/200/300",""
"","card-game","Cards Against Humanity","","Party card game for adults. 600 cards.","published","https://picsum.photos/seed/cards/200/300","600","4","4","6","","","","","","","","","","TRUE","","","Standard","CARDS-CAH","","FALSE","TRUE","600","4","4","6","","","","","22.00","25.55","Size","Standard","https://picsum.photos/seed/cards/200/300",""
"","plush-toy","Teddy Bear Plush","","15-inch soft teddy bear.","published","https://picsum.photos/seed/teddy/200/300","300","5","5","15","","","","","","","","","","TRUE","","","Brown","PLUSH-TED","","FALSE","TRUE","300","5","5","15","","","","","14.00","16.25","Color","Brown","https://picsum.photos/seed/teddy/200/300",""
"","board-game","Monopoly Board Game","","Classic property trading board game.","published","https://picsum.photos/seed/monopoly/200/300","1500","15","10","3","","","","","","","","","","TRUE","","","Classic","BOARD-MONO","","FALSE","TRUE","1500","15","10","3","","","","","25.00","29.00","Size","Classic","https://picsum.photos/seed/monopoly/200/300",""
"","soccer-ball","Soccer Ball","","Size 5 professional soccer ball.","published","https://picsum.photos/seed/soccer/200/300","500","8","8","8","","","","","","","","","","TRUE","","","Size 5","BALL-SOC5","","FALSE","TRUE","500","8","8","8","","","","","30.00","34.80","Size","Size 5","https://picsum.photos/seed/soccer/200/300",""
"","frisbee","Frisbee Disc","","175g professional ultimate frisbee.","published","https://picsum.photos/seed/frisbee/200/300","175","10","10","1","","","","","","","","","","TRUE","","","White","FRISBEE-175","","FALSE","TRUE","175","10","10","1","","","","","10.00","11.60","Color","White","https://picsum.photos/seed/frisbee/200/300",""
"","coloring-book","Adult Coloring Book","","Intricate patterns and mandalas for adults.","published","https://picsum.photos/seed/coloring/200/300","250","8","10","1","","","","","","","","","","TRUE","","","Standard","BOOK-COLOR","","FALSE","TRUE","250","8","10","1","","","","","8.00","9.30","Size","Standard","https://picsum.photos/seed/coloring/200/300",""
"","crayons","Crayon Set","","Set of 64 vibrant crayons.","published","https://picsum.photos/seed/crayons/200/300","300","5","5","2","","","","","","","","","","TRUE","","","64 Pack","CRAYON-64","","FALSE","TRUE","300","5","5","2","","","","","5.00","5.80","Size","64 Pack","https://picsum.photos/seed/crayons/200/300",""
"","water-colors","Watercolor Paint Set","","24-color watercolor paint set with brush.","published","https://picsum.photos/seed/watercolor/200/300","200","5","5","1","","","","","","","","","","TRUE","","","24 Colors","WC-24","","FALSE","TRUE","200","5","5","1","","","","","12.00","13.90","Size","24 Colors","https://picsum.photos/seed/watercolor/200/300",""
"","tshirt","Cotton T-Shirt","","100% organic cotton t-shirt, regular fit.","published","https://picsum.photos/seed/tshirt/200/300","200","15","10","0.5","","","","","","","","","","TRUE","","","S","TSHIRT-S","","FALSE","TRUE","200","15","10","0.5","","","","","15.00","17.40","Size","S","https://picsum.photos/seed/tshirt/200/300",""
"","tshirt","Cotton T-Shirt","","100% organic cotton t-shirt, regular fit.","published","https://picsum.photos/seed/tshirt/200/300","200","15","10","0.5","","","","","","","","","","TRUE","","","M","TSHIRT-M","","FALSE","TRUE","200","15","10","0.5","","","","","15.00","17.40","Size","M","https://picsum.photos/seed/tshirt/200/300",""
"","tshirt","Cotton T-Shirt","","100% organic cotton t-shirt, regular fit.","published","https://picsum.photos/seed/tshirt/200/300","200","15","10","0.5","","","","","","","","","","TRUE","","","L","TSHIRT-L","","FALSE","TRUE","200","15","10","0.5","","","","","15.00","17.40","Size","L","https://picsum.photos/seed/tshirt/200/300",""
"","tshirt","Cotton T-Shirt","","100% organic cotton t-shirt, regular fit.","published","https://picsum.photos/seed/tshirt/200/300","200","15","10","0.5","","","","","","","","","","TRUE","","","XL","TSHIRT-XL","","FALSE","TRUE","200","15","10","0.5","","","","","15.00","17.40","Size","XL","https://picsum.photos/seed/tshirt/200/300",""
"","hoodie","Hooded Sweatshirt","","Comfortable fleece hoodie with a front pocket.","published","https://picsum.photos/seed/hoodie/200/300","500","20","15","1","","","","","","","","","","TRUE","","","S","HOODIE-S","","FALSE","TRUE","500","20","15","1","","","","","29.00","33.65","Size","S","https://picsum.photos/seed/hoodie/200/300",""
"","hoodie","Hooded Sweatshirt","","Comfortable fleece hoodie with a front pocket.","published","https://picsum.photos/seed/hoodie/200/300","500","20","15","1","","","","","","","","","","TRUE","","","M","HOODIE-M","","FALSE","TRUE","500","20","15","1","","","","","29.00","33.65","Size","M","https://picsum.photos/seed/hoodie/200/300",""
"","hoodie","Hooded Sweatshirt","","Comfortable fleece hoodie with a front pocket.","published","https://picsum.photos/seed/hoodie/200/300","500","20","15","1","","","","","","","","","","TRUE","","","L","HOODIE-L","","FALSE","TRUE","500","20","15","1","","","","","29.00","33.65","Size","L","https://picsum.photos/seed/hoodie/200/300",""
"","hoodie","Hooded Sweatshirt","","Comfortable fleece hoodie with a front pocket.","published","https://picsum.photos/seed/hoodie/200/300","500","20","15","1","","","","","","","","","","TRUE","","","XL","HOODIE-XL","","FALSE","TRUE","500","20","15","1","","","","","29.00","33.65","Size","XL","https://picsum.photos/seed/hoodie/200/300",""
"","jeans","Slim Fit Jeans","","Stretch denim jeans with a slim fit.","published","https://picsum.photos/seed/jeans/200/300","600","10","10","1","","","","","","","","","","TRUE","","","30","JEANS-30","","FALSE","TRUE","600","10","10","1","","","","","35.00","40.60","Size","30","https://picsum.photos/seed/jeans/200/300",""
"","jeans","Slim Fit Jeans","","Stretch denim jeans with a slim fit.","published","https://picsum.photos/seed/jeans/200/300","600","10","10","1","","","","","","","","","","TRUE","","","32","JEANS-32","","FALSE","TRUE","600","10","10","1","","","","","35.00","40.60","Size","32","https://picsum.photos/seed/jeans/200/300",""
"","jeans","Slim Fit Jeans","","Stretch denim jeans with a slim fit.","published","https://picsum.photos/seed/jeans/200/300","600","10","10","1","","","","","","","","","","TRUE","","","34","JEANS-34","","FALSE","TRUE","600","10","10","1","","","","","35.00","40.60","Size","34","https://picsum.photos/seed/jeans/200/300",""
"","sneakers","Running Sneakers","","Lightweight running shoes with cushioned soles.","published","https://picsum.photos/seed/sneakers/200/300","800","10","10","5","","","","","","","","","","TRUE","","","8","SNEAKER-8","","FALSE","TRUE","800","10","10","5","","","","","55.00","63.80","Size","8","https://picsum.photos/seed/sneakers/200/300",""
"","sneakers","Running Sneakers","","Lightweight running shoes with cushioned soles.","published","https://picsum.photos/seed/sneakers/200/300","800","10","10","5","","","","","","","","","","TRUE","","","9","SNEAKER-9","","FALSE","TRUE","800","10","10","5","","","","","55.00","63.80","Size","9","https://picsum.photos/seed/sneakers/200/300",""
"","sneakers","Running Sneakers","","Lightweight running shoes with cushioned soles.","published","https://picsum.photos/seed/sneakers/200/300","800","10","10","5","","","","","","","","","","TRUE","","","10","SNEAKER-10","","FALSE","TRUE","800","10","10","5","","","","","55.00","63.80","Size","10","https://picsum.photos/seed/sneakers/200/300",""
"","sunglasses","Polarized Sunglasses","","UV400 polarized sunglasses with a sturdy frame.","published","https://picsum.photos/seed/sunglasses/200/300","100","6","6","2","","","","","","","","","","TRUE","","","Black","SUNGLASS-BLK","","FALSE","TRUE","100","6","6","2","","","","","22.00","25.55","Color","Black","https://picsum.photos/seed/sunglasses/200/300",""
"","sunglasses","Polarized Sunglasses","","UV400 polarized sunglasses with a sturdy frame.","published","https://picsum.photos/seed/sunglassesgold/200/300","100","6","6","2","","","","","","","","","","TRUE","","","Gold","SUNGLASS-GOLD","","FALSE","TRUE","100","6","6","2","","","","","22.00","25.55","Color","Gold","https://picsum.photos/seed/sunglassesgold/200/300",""
"","wallet","Leather Wallet","","Genuine leather bi-fold wallet with 6 card slots.","published","https://picsum.photos/seed/wallet/200/300","150","3","4","1","","","","","","","","","","TRUE","","","Black","WALLET-BLK","","FALSE","TRUE","150","3","4","1","","","","","18.00","20.90","Color","Black","https://picsum.photos/seed/wallet/200/300",""
"","wallet","Leather Wallet","","Genuine leather bi-fold wallet with 6 card slots.","published","https://picsum.photos/seed/walletbrown/200/300","150","3","4","1","","","","","","","","","","TRUE","","","Brown","WALLET-BRN","","FALSE","TRUE","150","3","4","1","","","","","18.00","20.90","Color","Brown","https://picsum.photos/seed/walletbrown/200/300",""
"","belt","Leather Belt","","Genuine leather belt with a classic buckle.","published","https://picsum.photos/seed/belt/200/300","200","3","1","0.5","","","","","","","","","","TRUE","","","36","BELT-36","","FALSE","TRUE","200","3","1","0.5","","","","","14.00","16.25","Size","36","https://picsum.photos/seed/belt/200/300",""
"","belt","Leather Belt","","Genuine leather belt with a classic buckle.","published","https://picsum.photos/seed/belt/200/300","200","3","1","0.5","","","","","","","","","","TRUE","","","38","BELT-38","","FALSE","TRUE","200","3","1","0.5","","","","","14.00","16.25","Size","38","https://picsum.photos/seed/belt/200/300",""
"","belt","Leather Belt","","Genuine leather belt with a classic buckle.","published","https://picsum.photos/seed/belt/200/300","200","3","1","0.5","","","","","","","","","","TRUE","","","40","BELT-40","","FALSE","TRUE","200","3","1","0.5","","","","","14.00","16.25","Size","40","https://picsum.photos/seed/belt/200/300",""
"","watch","Digital Sports Watch","","Water-resistant digital watch with stopwatch.","published","https://picsum.photos/seed/watch/200/300","100","3","3","0.5","","","","","","","","","","TRUE","","","Black","WATCH-DIGI","","FALSE","TRUE","100","3","3","0.5","","","","","25.00","29.00","Color","Black","https://picsum.photos/seed/watch/200/300",""
"","backpack","Travel Backpack","","40L travel backpack with laptop compartment.","published","https://picsum.photos/seed/backpack/200/300","1200","20","15","8","","","","","","","","","","TRUE","","","Blue","BACKPACK-40","","FALSE","TRUE","1200","20","15","8","","","","","45.00","52.20","Color","Blue","https://picsum.photos/seed/backpack/200/300",""
"","tool-kit","Home Tool Kit","","40-piece tool kit with hammer, screwdrivers, and wrenches.","published","https://picsum.photos/seed/toolkit/200/300","2500","20","15","10","","","","","","","","","","TRUE","","","40-Piece","TOOL-40","","FALSE","TRUE","2500","20","15","10","","","","","35.00","40.60","Size","40-Piece","https://picsum.photos/seed/toolkit/200/300",""
"","flashlight","LED Flashlight","","High-power LED flashlight with 3 modes.","published","https://picsum.photos/seed/flashlight/200/300","200","5","5","5","","","","","","","","","","TRUE","","","Black","FLASH-LED","","FALSE","TRUE","200","5","5","5","","","","","18.00","20.90","Color","Black","https://picsum.photos/seed/flashlight/200/300",""
"","duct-tape","Duct Tape","","Heavy-duty duct tape, 10m roll.","published","https://picsum.photos/seed/ducttape/200/300","300","5","5","5","","","","","","","","","","TRUE","","","Silver","TAPE-DUCT","","FALSE","TRUE","300","5","5","5","","","","","4.00","4.65","Color","Silver","https://picsum.photos/seed/ducttape/200/300",""
"","measuring-tape","Measuring Tape","","25ft/7.5m measuring tape with metric and imperial.","published","https://picsum.photos/seed/measuringtape/200/300","150","3","3","3","","","","","","","","","","TRUE","","","25ft","MT-25","","FALSE","TRUE","150","3","3","3","","","","","6.00","6.95","Size","25ft","https://picsum.photos/seed/measuringtape/200/300",""
"","screwdriver-set","Screwdriver Set","","Set of 6 precision screwdrivers.","published","https://picsum.photos/seed/screwdriver/200/300","400","5","5","2","","","","","","","","","","TRUE","","","6-Piece","SD-6","","FALSE","TRUE","400","5","5","2","","","","","10.00","11.60","Size","6-Piece","https://picsum.photos/seed/screwdriver/200/300",""
"","wrench","Adjustable Wrench","","10-inch adjustable wrench.","published","https://picsum.photos/seed/wrench/200/300","500","10","2","1","","","","","","","","","","TRUE","","","10 Inch","WRENCH-10","","FALSE","TRUE","500","10","2","1","","","","","12.00","13.90","Size","10 Inch","https://picsum.photos/seed/wrench/200/300",""
"","hammer","Claw Hammer","","16oz steel claw hammer with a fiberglass handle.","published","https://picsum.photos/seed/hammer/200/300","700","10","5","2","","","","","","","","","","TRUE","","","16oz","HAMMER-16","","FALSE","TRUE","700","10","5","2","","","","","14.00","16.25","Size","16oz","https://picsum.photos/seed/hammer/200/300",""
"","level","Torpedo Level","","9-inch magnetic torpedo level.","published","https://picsum.photos/seed/level/200/300","250","9","1","1","","","","","","","","","","TRUE","","","9 Inch","LEVEL-9","","FALSE","TRUE","250","9","1","1","","","","","8.00","9.30","Size","9 Inch","https://picsum.photos/seed/level/200/300",""
"","pliers","Pliers Set","","Set of 3 pliers (needle nose, lineman, and diagonal).","published","https://picsum.photos/seed/pliers/200/300","500","8","3","1","","","","","","","","","","TRUE","","","Set of 3","PLIERS-3","","FALSE","TRUE","500","8","3","1","","","","","18.00","20.90","Size","Set of 3","https://picsum.photos/seed/pliers/200/300",""
"","tape-measure","Long Tape Measure","","100ft/30m long measuring tape for construction.","published","https://picsum.photos/seed/longtape/200/300","500","5","5","5","","","","","","","","","","TRUE","","","100ft","LTM-100","","FALSE","TRUE","500","5","5","5","","","","","15.00","17.40","Size","100ft","https://picsum.photos/seed/longtape/200/300",""
"","safety-glasses","Safety Glasses","","ANSI-rated protective safety glasses.","published","https://picsum.photos/seed/safetyglasses/200/300","100","5","2","1","","","","","","","","","","TRUE","","","Clear","SG-CLEAR","","FALSE","TRUE","100","5","2","1","","","","","8.00","9.30","Color","Clear","https://picsum.photos/seed/safetyglasses/200/300",""
"","earplugs","Hearing Protection","","Reusable earplugs for noise reduction.","published","https://picsum.photos/seed/earplugs/200/300","50","1","1","0.5","","","","","","","","","","TRUE","","","Pair","EARPLUGS-2","","FALSE","TRUE","50","1","1","0.5","","","","","4.00","4.65","Size","Pair","https://picsum.photos/seed/earplugs/200/300",""
"","battery-pack","AA Battery Pack","","Pack of 20 AA alkaline batteries.","published","https://picsum.photos/seed/batteries/200/300","400","5","5","5","","","","","","","","","","TRUE","","","20 Pack","BATT-AA-20","","FALSE","TRUE","400","5","5","5","","","","","10.00","11.60","Size","20 Pack","https://picsum.photos/seed/batteries/200/300",""
"","book-fiction","Science Fiction Novel","","Bestselling sci-fi novel (paperback).","published","https://picsum.photos/seed/scifi/200/300","300","5","8","1","","","","","","","","","","TRUE","","","Sci-Fi","BOOK-SCI","","FALSE","TRUE","300","5","8","1","","","","","12.00","13.90","Genre","Sci-Fi","https://picsum.photos/seed/scifi/200/300",""
"","book-thriller","Thriller Mystery","","A gripping thriller about a missing person.","published","https://picsum.photos/seed/thriller/200/300","300","5","8","1","","","","","","","","","","TRUE","","","Thriller","BOOK-THRILL","","FALSE","TRUE","300","5","8","1","","","","","13.00","15.10","Genre","Thriller","https://picsum.photos/seed/thriller/200/300",""
"","book-cookbook","Cookbook","","Healthy recipes for busy people (hardcover).","published","https://picsum.photos/seed/cookbook/200/300","800","8","10","1.5","","","","","","","","","","TRUE","","","Cookbook","BOOK-COOK","","FALSE","TRUE","800","8","10","1.5","","","","","22.00","25.55","Genre","Cookbook","https://picsum.photos/seed/cookbook/200/300",""
"","book-children","Children's Picture Book","","Colorful picture book for 3-6 year olds.","published","https://picsum.photos/seed/childrenbook/200/300","200","8","10","1","","","","","","","","","","TRUE","","","3-6","BOOK-KIDS","","FALSE","TRUE","200","8","10","1","","","","","8.00","9.30","Age","3-6","https://picsum.photos/seed/childrenbook/200/300",""
"","magazine","Lifestyle Magazine","","Monthly lifestyle magazine (issue #45).","published","https://picsum.photos/seed/magazine/200/300","200","6","8","0.5","","","","","","","","","","TRUE","","","45","MAG-LIFE","","FALSE","TRUE","200","6","8","0.5","","","","","5.00","5.80","Issue","45","https://picsum.photos/seed/magazine/200/300",""
"","coloring-book-kids","Kids Coloring Book","","Fun animal coloring book for kids.","published","https://picsum.photos/seed/kidscoloring/200/300","100","8","10","0.5","","","","","","","","","","TRUE","","","Standard","COLOR-KIDS","","FALSE","TRUE","100","8","10","0.5","","","","","4.00","4.65","Size","Standard","https://picsum.photos/seed/kidscoloring/200/300",""
"","book-business","Business Book","","Guide to startup success.","published","https://picsum.photos/seed/businessbook/200/300","350","5","8","1","","","","","","","","","","TRUE","","","Business","BOOK-BIZ","","FALSE","TRUE","350","5","8","1","","","","","16.00","18.60","Genre","Business","https://picsum.photos/seed/businessbook/200/300",""
"","book-poetry","Poetry Collection","","A collection of modern poetry.","published","https://picsum.photos/seed/poetry/200/300","200","5","8","0.5","","","","","","","","","","TRUE","","","Poetry","BOOK-POET","","FALSE","TRUE","200","5","8","0.5","","","","","10.00","11.60","Genre","Poetry","https://picsum.photos/seed/poetry/200/300",""
"","dvd","Documentary DVD","","Nature documentary on blue planet (DVD).","published","https://picsum.photos/seed/dvd/200/300","100","5","5","0.5","","","","","","","","","","TRUE","","","DVD","DVD-NATURE","","FALSE","TRUE","100","5","5","0.5","","","","","12.00","13.90","Format","DVD","https://picsum.photos/seed/dvd/200/300",""
"","vinyl-record","Classic Vinyl Record","","Classic rock album on 180g vinyl.","published","https://picsum.photos/seed/vinyl/200/300","500","12","12","1","","","","","","","","","","TRUE","","","Rock","VINYL-ROCK","","FALSE","TRUE","500","12","12","1","","","","","25.00","29.00","Genre","Rock","https://picsum.photos/seed/vinyl/200/300",""
